,n,Insertion Sort,Merge Sort,Quick Sort
###############################################,,,,
,5,17,17,21
,10,15,28,35
,15,22,42,49
,20,29,61,60
,25,39,78,100
,30,48,100,113
,35,65,116,103
,40,85,134,131
,45,83,152,153
,50,95,192,186
,55,108,220,248
,60,123,229,214
,65,141,233,210
,70,166,253,236
,75,181,288,292
,80,210,314,303
,85,245,349,302
,90,256,349,320
,95,314,398,389
,100,273,386,396
,105,312,407,406
,110,336,429,391
,115,347,459,439
,120,392,473,456
,125,411,504,492
,130,439,514,535
,135,520,557,541
,140,525,604,549
,145,512,599,545
,150,572,606,558
,155,624,629,570
,160,607,647,608
,165,703,675,630
,170,686,697,657
,175,753,720,636
,180,770,788,683
,185,820,768,722
,190,913,816,810
,195,892,814,734
,200,989,834,741
,205,1010,862,787
,210,1016,885,840
,215,1112,924,830
,220,1077,926,897
,225,1194,953,863
,230,1274,978,873
,235,1243,1043,905
,240,1339,1027,956
,245,1475,1059,1012
,250,1471,1078,974
,255,1467,1109,1057
,260,1525,1142,1069
,265,1545,1162,1076
,270,1674,1177,1051
,275,1732,1264,1152
,280,1735,1265,1178
,285,1807,1349,1230
,290,2045,1314,1152
,295,1898,1303,1134
,300,2047,1333,1266
,305,2035,1359,1234
,310,2023,1379,1258
,315,2202,1419,1268
,320,2377,1437,1290
,325,2323,1490,1357
,330,2281,1488,1344
,335,2354,1514,1420
,340,2488,1544,1377
,345,2575,1558,1417
,350,2768,1577,1468
,355,2659,1622,1402
,360,2756,1625,1504
,365,2832,1662,1426
,370,2854,1684,1464
,375,2975,1709,1532
,380,3055,1730,1525
,385,3192,1789,1681
,390,3220,1781,1597
,395,3294,1793,1629
,400,3258,1821,1617
,405,3379,1852,1818
,410,3653,1890,1818
,415,3780,1900,1867
,420,3707,1956,1757
,425,3835,1955,1715
,430,3799,1999,2000
,435,4037,2015,1776
,440,4021,2047,1877
,445,4099,2073,1921
,450,4127,2102,2019
,455,4442,2116,1885
,460,4548,2158,1880
,465,4841,2177,1979
,470,4447,2242,2052
,475,4924,2213,2012
,480,4960,2274,1961
,485,4900,2265,2043
,490,4981,2298,2136
,495,4992,2431,2095
,500,5033,2348,2108
###############################################,,,,
,5,11,14,15
,10,14,27,27
,15,21,43,54
,20,31,60,59
,25,39,77,96
,30,49,101,89
,35,56,114,121
,40,71,133,132
,45,84,155,143
,50,95,170,170
,55,106,194,174
,60,135,212,203
,65,147,232,224
,70,160,257,241
,75,180,272,256
,80,216,292,262
,85,232,317,304
,90,249,333,314
,95,276,355,334
,100,289,381,340
,105,313,401,377
,110,324,424,422
,115,348,451,402
,120,377,470,451
,125,441,511,530
,130,431,514,512
,135,485,550,491
,140,507,557,551
,145,537,585,557
,150,643,620,557
,155,605,630,571
,160,645,652,626
,165,726,668,616
,170,674,696,630
,175,741,722,656
,180,861,742,661
,185,766,768,718
,190,836,793,727
,195,881,812,766
,200,939,850,870
,205,992,860,782
,210,992,894,826
,215,1056,913,883
,220,1127,932,876
,225,1215,955,881
,230,1180,980,877
,235,1221,1002,897
,240,1363,1024,995
,245,1282,1056,1076
,250,1388,1075,983
,255,1439,1100,996
,260,1649,1132,1041
,265,1525,1196,1030
,270,1708,1181,1073
,275,1744,1200,1086
,280,1748,1244,1152
,285,1880,1289,1139
,290,1685,1277,1272
,295,1763,1295,1183
,300,2044,1324,1259
,305,2123,1357,1194
,310,1979,1474,1236
,315,2231,1412,1291
,320,2362,1424,1301
,325,2123,1448,1278
,330,2287,1507,1333
,335,2446,1560,1344
,340,2544,1534,1330
,345,2545,1583,1487
,350,2806,1669,1479
,355,2709,1604,1484
,360,2876,1625,1513
,365,3020,1653,1480
,370,2944,1721,1567
,375,2995,1762,1597
,380,2924,1727,1631
,385,2997,1772,1576
,390,3299,1780,1580
,395,3514,1821,1685
,400,3458,1915,1738
,405,3422,1855,1656
,410,3549,1889,1647
,415,3684,1956,1715
,420,3552,1930,1732
,425,3805,1952,1712
,430,4002,2012,1835
,435,3987,2034,1744
